Zone,Manager,Sales
West,Hemant Punia,70
East,Karan Singhal,20
North,Raghav Chawla,100
South,Saurabh Sharma,150
West,Hemant Punia,120
East,Karan Singhal,175
North,Raghav Chawla,135
South,Saurabh Sharma,20
West,Hemant Punia,25
East,Karan Singhal,26
North,Raghav Chawla,27
South,Saurabh Sharma,28
West,Hemant Punia,29
East,Karan Singhal,30
North,Raghav Chawla,31
South,Saurabh Sharma,32
West,Hemant Punia,33
East,Karan Singhal,34
North,Raghav Chawla,35
South,Saurabh Sharma,36
West,Hemant Punia,37
East,Karan Singhal,38
North,Raghav Chawla,39
South,Saurabh Sharma,40
